日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,60,57,54,53,51,57,61,68,72,75,77,79
4月9日 (三),81,84,85,87,90,93,95,98,94,85,75,68,65,63,63,64,64,68,72,75,78,83,85,86
4月10日 (四),87,89,89,90,92,94,95,98,94,86,78,74,72,68,66,65,66,68,73,75,78,84,86,87
4月11日 (五),88,90,91,92,94,96,97,99,94,83,73,68,66,64,63,64,64,67,72,75,79,86,88,89
4月12日 (六),91,93,93,94,95,97,100,100,100,92,85,82,80,76,72,69,64,67,66,63,60,62,60,58
4月13日 (日),57,57,55,55,55,55,55,56,53,46,41,38,36,33,34,34,35,37,42,47,53,59,61,64
4月14日 (一),66,69,70,70,71,72,72,72,68,56,47,40,37,33,32,33,34,38,42,47,52,58,60,61
4月15日 (二),62,64,65,66,67,68,70,73,70,59,49,42,38,34,33,34,37,41,46,52,58,66,69,73
4月16日 (三),76,80,82,83,84,86,87,89,83,73,63,57,54,51,49,50,51,54,59,63,68,75,77,79
4月17日 (四),80,82,82,83,85,87,89,92,87,77,68,61,58,56,55,56,57,60,65,68,73,80,82,83
