日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,3,3,4,4,5,5,4,4,4,3,3
4月9日 (三),3,2,1,1,1,1,1,1,1,2,3,4,5,6,7,7,8,8,7,5,5,5,4,3
4月10日 (四),3,2,1,3,3,2,2,2,3,4,5,6,6,6,6,6,7,6,5,4,4,4,3,3
4月11日 (五),3,2,2,1,2,1,2,1,2,4,5,6,7,8,8,8,8,8,7,6,6,6,6,6
4月12日 (六),6,5,5,5,5,5,5,6,6,7,8,9,7,9,15,12,11,11,10,10,9,9,8,7
4月13日 (日),6,6,5,5,5,5,4,4,4,5,5,5,5,5,5,4,4,4,3,3,3,3,3,2
4月14日 (一),2,2,1,1,1,1,1,0,1,1,2,3,3,4,4,4,4,4,4,3,3,3,2,2
4月15日 (二),2,2,2,1,1,1,1,1,2,2,2,3,3,4,4,4,5,5,4,4,4,4,3,3
4月16日 (三),3,3,3,3,3,2,3,2,3,4,4,5,5,5,6,6,6,6,5,5,5,5,5,4
4月17日 (四),4,3,3,3,3,3,3,2,3,4,5,5,5,6,6,6,6,6,6,5,5,5,5,5
