日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69,64,67,64,68,70,70,73,81,83,81,82,83
4月9日 (三),86,88,88,92,91,94,96,95,91,84,79,76,76,74,76,77,77,82,85,92,94,94,94,93
4月10日 (四),94,95,94,97,95,97,98,97,93,87,81,79,78,76,77,78,78,82,84,91,93,93,94,94
4月11日 (五),95,96,95,98,97,99,99,98,94,86,82,80,79,76,77,78,78,83,85,92,94,95,95,95
4月12日 (六),96,97,96,100,99,100,100,100,97,90,85,84,83,81,81,76,71,72,71,69,64,62,60,57
4月13日 (日),57,57,56,56,54,54,54,54,52,48,44,42,42,42,45,46,47,50,53,57,60,61,64,66
4月14日 (一),68,70,71,72,71,72,71,70,67,59,53,50,47,45,45,47,47,51,55,61,64,65,66,66
4月15日 (二),67,68,68,70,70,71,71,71,68,61,56,53,50,48,49,51,53,58,63,71,75,78,80,81
4月16日 (三),83,85,86,88,87,88,88,87,82,75,69,67,65,63,64,65,65,69,72,79,82,83,85,85
4月17日 (四),87,87,87,90,88,90,90,90,86,79,73,71,70,67,68,69,69,73,76,84,86,87,88,88
