日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,6,4,6,7,12,8,5,5,4,1,3
4月9日 (三),1,2,3,1,2,3,3,3,2,3,6,7,10,12,13,13,12,11,10,9,9,8,6,6
4月10日 (四),3,4,4,3,4,5,4,5,5,7,10,11,12,12,13,13,12,11,8,7,7,7,5,6
4月11日 (五),5,6,6,3,4,5,5,6,7,9,12,13,14,15,16,16,14,13,12,12,13,13,12,13
4月12日 (六),12,13,13,11,13,13,13,13,14,15,16,16,12,13,22,19,18,18,17,17,18,18,15,14
4月13日 (日),13,14,13,12,13,13,13,14,14,14,14,13,12,10,11,10,8,9,8,7,9,7,6,7
4月14日 (一),5,5,5,3,4,5,5,5,5,6,8,8,9,9,11,11,9,9,8,7,9,7,6,7
4月15日 (二),5,5,6,4,6,6,6,6,5,5,6,7,8,9,12,12,11,10,9,9,10,10,8,10
4月16日 (三),8,9,9,7,8,9,8,9,8,10,11,12,12,13,14,14,13,12,11,11,12,11,10,11
4月17日 (四),9,10,10,7,9,9,9,9,8,9,11,12,12,13,14,14,13,12,11,11,12,12,10,12
