日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76,68,64,66,67,65,70,76,74,79,79,81,84
4月9日 (三),86,89,90,90,91,93,96,97,93,87,84,79,76,74,73,74,76,80,81,82,83,85,87,88
4月10日 (四),89,92,92,92,92,93,95,97,92,88,87,84,82,77,75,76,77,79,80,82,83,86,89,90
4月11日 (五),91,94,94,94,94,95,97,99,94,86,83,79,76,72,71,74,77,79,81,83,85,88,91,92
4月12日 (六),93,96,96,96,96,96,99,100,100,95,94,93,92,88,86,81,79,79,72,64,58,58,56,54
4月13日 (日),55,53,52,51,50,51,53,54,51,47,45,44,42,41,42,42,45,46,48,52,57,61,64,66
4月14日 (一),69,70,71,71,70,70,71,71,66,57,52,47,43,40,38,40,44,46,49,53,58,62,64,65
4月15日 (二),68,69,70,69,69,69,70,72,68,60,56,51,46,42,41,44,48,52,56,61,67,72,76,79
4月16日 (三),83,86,88,87,86,87,88,90,84,76,73,70,66,62,61,63,66,68,70,72,75,79,82,84
4月17日 (四),86,88,88,87,87,88,90,93,88,81,78,74,71,67,66,68,71,74,75,78,80,82,84,85
