日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,10,15,18,15,11,17,18,11,6,5,4,3
4月9日 (三),3,2,1,1,1,1,0,2,2,3,6,8,10,11,12,12,12,11,10,7,6,5,4,3
4月10日 (四),3,2,1,2,2,2,2,4,5,7,8,10,11,11,11,11,10,9,8,6,5,4,4,3
4月11日 (五),3,3,2,1,1,1,1,3,4,7,9,11,13,14,14,14,14,12,11,9,8,7,7,6
4月12日 (六),6,6,6,5,5,5,5,6,7,9,11,13,12,12,17,15,17,17,16,14,13,13,12,10
4月13日 (日),9,9,8,7,7,6,5,6,7,8,9,10,11,11,11,10,10,8,7,5,5,4,4,3
4月14日 (一),3,2,2,1,2,2,1,2,3,4,5,7,8,9,9,9,9,7,7,5,5,4,4,4
4月15日 (二),3,3,3,2,3,3,2,3,3,4,5,7,9,10,11,11,10,9,8,6,6,5,5,4
4月16日 (三),4,4,3,3,3,3,2,4,5,7,8,9,11,11,11,11,11,9,9,7,6,5,5,4
4月17日 (四),4,4,3,3,4,3,2,4,4,6,8,10,11,11,12,12,11,10,9,7,7,6,6,5
