日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74,62,61,61,62,64,69,72,81,81,84,85,87
4月9日 (三),89,91,93,94,96,98,100,100,97,85,79,77,74,72,70,73,76,80,87,92,96,99,100,100
4月10日 (四),100,100,100,100,100,100,100,100,98,88,82,80,77,73,71,73,75,79,85,91,95,98,100,100
4月11日 (五),100,100,100,100,100,100,100,100,99,88,82,80,76,72,71,74,76,80,87,92,96,100,100,100
4月12日 (六),100,100,100,100,100,100,100,100,100,93,87,86,82,78,76,73,72,74,75,72,66,64,62,61
4月13日 (日),59,58,56,55,53,53,53,53,49,43,41,39,38,38,39,42,46,50,56,61,65,67,69,71
4月14日 (一),73,73,74,73,72,73,72,73,67,58,53,50,47,44,43,45,49,53,60,66,70,73,74,75
4月15日 (二),76,75,76,74,73,73,73,73,67,60,56,54,50,48,47,51,55,61,68,75,81,85,87,89
4月16日 (三),92,92,94,93,92,93,93,94,87,77,72,70,66,62,61,65,67,71,78,83,88,91,93,94
4月17日 (四),95,95,95,95,94,96,97,99,92,82,76,74,69,65,64,67,70,74,81,87,91,93,95,96
