日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,7,9,12,8,10,5,4,3,0,0,0
4月9日 (三),0,0,0,0,0,0,0,0,1,3,5,6,7,8,8,6,8,6,5,3,2,2,2,1
4月10日 (四),1,1,1,1,1,1,1,1,2,4,6,7,8,8,8,7,8,6,5,3,2,2,2,1
4月11日 (五),1,1,2,1,0,0,0,0,1,4,6,7,8,9,8,7,8,6,6,4,3,4,3,3
4月12日 (六),3,3,4,4,3,4,4,4,5,6,8,9,8,8,9,8,10,8,8,7,6,6,6,5
4月13日 (日),5,5,5,5,4,5,4,4,4,6,7,7,8,8,8,7,8,6,5,3,2,1,1,1
4月14日 (一),1,1,1,1,1,1,1,1,1,3,5,6,7,8,8,7,8,6,5,4,3,3,2,2
4月15日 (二),2,2,2,2,2,1,1,1,1,3,5,6,7,8,8,7,8,6,5,3,2,2,2,2
4月16日 (三),2,2,2,3,2,2,2,2,3,4,6,7,8,8,8,7,8,6,5,4,3,3,2,2
4月17日 (四),2,2,2,2,2,2,1,1,2,4,6,6,7,8,8,7,8,6,6,4,3,3,3,2
