日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,67,67,69,67,65,68,71,72,76,78,78,81
4月9日 (三),83,84,85,86,87,90,92,94,90,85,81,73,74,73,72,75,75,79,84,87,90,92,92,92
4月10日 (四),92,92,93,92,92,93,94,96,91,87,83,76,77,76,74,77,78,80,83,86,89,92,92,92
4月11日 (五),93,94,94,93,93,95,95,97,92,86,81,74,75,75,74,77,78,80,83,86,90,94,94,94
4月12日 (六),95,96,96,95,95,96,98,100,96,92,89,83,85,83,78,76,71,70,69,67,64,63,60,57
4月13日 (日),56,54,54,52,51,51,52,52,50,46,43,40,40,39,40,41,41,43,47,53,57,60,62,63
4月14日 (一),65,66,68,67,67,68,69,69,65,58,52,46,44,43,41,43,44,46,49,54,57,60,61,61
4月15日 (二),62,63,64,64,64,66,67,69,66,60,54,47,46,43,42,45,47,51,55,61,66,71,72,75
4月16日 (三),77,79,81,80,80,82,83,84,79,73,68,61,61,60,58,61,61,64,67,71,75,79,80,80
4月17日 (四),82,82,82,81,81,83,84,87,82,77,72,65,66,65,64,66,67,69,73,77,81,85,85,86
