日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,7,13,6,8,10,15,14,11,13,7,6,6
4月9日 (三),5,4,2,2,1,2,3,2,3,3,5,7,9,9,10,11,11,10,9,9,8,7,6,6
4月10日 (四),5,4,2,4,3,4,4,4,5,6,8,9,10,9,10,10,10,10,9,8,7,6,6,5
4月11日 (五),5,5,3,3,3,3,4,4,5,7,8,10,11,10,11,11,11,11,10,10,9,8,9,8
4月12日 (六),9,8,7,7,7,7,8,9,9,10,11,11,10,10,13,13,12,13,11,11,11,10,9,8
4月13日 (日),9,8,6,6,6,6,7,7,7,8,9,9,9,9,9,9,9,8,8,7,6,5,5,5
4月14日 (一),4,3,1,1,1,2,3,2,3,3,5,7,8,8,9,9,9,9,8,7,6,5,5,4
4月15日 (二),4,3,1,1,1,2,3,3,4,4,5,7,8,8,9,9,9,9,8,8,7,6,6,5
4月16日 (三),5,4,3,3,3,3,4,4,5,5,7,8,9,9,9,10,10,10,9,9,8,7,7,6
4月17日 (四),6,5,4,4,4,4,5,4,5,6,7,9,10,9,10,10,10,10,9,9,8,8,8,7
