日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65,61,58,56,58,61,64,67,72,75,78,79,82
4月9日 (三),85,88,89,91,94,95,97,97,93,83,74,68,67,66,68,66,67,70,75,80,84,87,88,89
4月10日 (四),91,93,93,94,95,95,96,95,92,84,77,73,72,70,69,67,68,71,75,80,84,87,88,90
4月11日 (五),92,94,95,96,97,97,98,97,93,82,72,67,66,64,66,65,66,70,75,80,85,89,90,92
4月12日 (六),94,97,97,97,98,97,100,100,98,90,84,82,82,80,79,73,70,72,71,68,64,64,61,59
4月13日 (日),59,58,57,56,56,57,57,58,56,47,40,37,34,33,34,35,37,39,45,52,57,62,64,67
4月14日 (一),69,73,75,74,75,75,75,74,69,55,45,39,36,33,32,33,36,40,46,52,57,62,63,65
4月15日 (二),67,69,71,71,72,73,74,75,72,58,48,41,37,34,33,35,38,43,50,58,65,71,74,78
4月16日 (三),81,86,88,88,89,90,90,89,84,72,63,57,55,53,53,53,55,58,64,70,75,79,81,83
4月17日 (四),85,88,88,88,90,91,92,93,89,76,68,62,60,58,59,58,60,64,70,75,80,83,84,85
