日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,26,27,27,27,26,25,23,22,22,21,21,20
4月9日 (三),20,20,19,20,19,19,19,19,21,23,25,26,27,27,27,26,26,25,23,22,21,21,21,20
4月10日 (四),20,20,20,20,20,20,20,20,21,23,24,25,26,26,26,26,26,25,23,22,21,20,20,20
4月11日 (五),20,20,20,21,21,21,20,21,22,24,26,27,28,28,27,27,26,25,23,22,22,21,21,21
4月12日 (六),20,20,20,20,20,20,19,20,21,23,25,24,24,23,21,19,18,17,16,16,16,15,15,15
4月13日 (日),14,14,14,14,14,14,13,13,15,17,19,21,22,23,23,23,23,22,20,19,18,17,17,16
4月14日 (一),15,13,13,13,14,14,14,15,17,20,23,24,26,27,26,26,25,24,22,21,20,19,18,17
4月15日 (二),16,15,14,15,15,15,15,16,19,22,24,26,28,29,29,28,26,25,23,21,20,19,18,18
4月16日 (三),17,17,16,16,16,15,15,16,18,20,22,24,25,26,25,25,24,23,22,21,20,19,19,18
4月17日 (四),18,17,17,17,16,16,16,16,18,21,23,24,25,26,25,25,24,23,22,21,20,20,20,20
