日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72,67,74,66,74,77,81,86,87,86,83,81,83
4月9日 (三),86,88,92,93,93,95,97,97,95,90,85,80,79,80,81,85,90,91,93,95,97,97,95,96
4月10日 (四),97,98,100,99,98,99,99,98,97,91,87,82,81,81,81,85,88,90,91,94,95,96,94,96
4月11日 (五),97,97,100,99,99,100,100,99,98,92,88,82,80,80,81,85,89,91,92,95,97,97,95,97
4月12日 (六),98,99,100,100,100,100,100,100,100,95,90,84,82,82,81,80,80,78,75,70,65,63,60,60
4月13日 (日),59,58,56,55,54,54,54,53,52,49,45,42,42,45,46,50,53,56,56,57,58,60,61,64
4月14日 (一),65,67,69,69,69,69,69,69,69,64,60,55,53,54,54,58,61,63,65,68,70,71,70,71
4月15日 (二),72,73,74,74,73,73,72,71,70,66,64,60,59,60,60,65,70,73,75,78,80,82,82,84
4月16日 (三),86,88,90,89,89,89,89,88,87,82,78,73,72,74,73,78,81,82,83,86,87,88,86,88
4月17日 (四),89,90,92,92,91,92,92,92,91,86,81,76,74,75,74,79,82,84,86,88,90,90,89,90
