日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,15,15,13,16,7,10,5,0,3,6,6,5
4月9日 (三),5,5,5,5,4,5,4,4,4,3,3,5,6,7,8,9,10,9,8,7,7,6,7,7
4月10日 (四),6,6,5,4,4,5,5,4,5,5,6,8,8,10,11,11,12,12,9,7,8,8,9,8
4月11日 (五),9,8,7,7,4,3,2,2,5,6,7,8,10,12,13,13,13,13,13,12,14,15,16,16
4月12日 (六),17,17,17,18,17,18,18,17,17,18,19,19,16,16,18,20,24,27,26,25,28,27,27,24
4月13日 (日),25,23,23,23,22,22,21,19,18,17,15,14,13,12,13,12,12,11,9,7,7,6,7,6
4月14日 (一),7,7,7,8,7,7,6,6,6,5,4,5,7,9,11,11,11,10,10,8,9,10,10,10
4月15日 (二),11,11,11,11,9,8,6,5,5,5,5,6,9,10,12,12,11,11,10,8,9,10,10,11
4月16日 (三),12,12,13,14,12,13,12,12,12,12,12,12,13,14,15,14,14,13,12,10,12,11,12,12
4月17日 (四),13,13,13,13,12,12,10,9,9,8,9,9,11,12,14,14,13,13,12,11,13,13,14,14
