日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71,64,60,62,61,62,66,70,78,78,78,79,82
4月9日 (三),86,87,88,89,91,94,96,97,91,83,79,75,72,71,71,70,73,76,73,75,81,85,86,87
4月10日 (四),90,91,91,91,92,95,96,96,90,84,83,79,76,74,73,71,73,74,71,75,82,85,87,88
4月11日 (五),92,93,93,93,94,96,97,98,92,84,79,77,72,70,70,69,73,76,73,76,83,88,89,91
4月12日 (六),94,95,95,95,95,97,100,100,97,91,89,88,86,85,84,76,74,73,67,61,57,57,55,54
4月13日 (日),53,52,51,50,50,51,53,53,51,46,42,40,39,37,37,37,41,42,45,50,58,62,64,66
4月14日 (一),68,69,70,69,69,71,71,71,65,56,50,45,41,37,36,37,41,44,47,52,59,64,65,67
4月15日 (二),69,70,71,70,70,71,72,72,66,58,53,48,44,40,38,40,46,51,53,59,69,74,77,80
4月16日 (三),84,86,88,87,87,89,90,90,82,74,70,66,63,60,59,58,62,65,64,68,76,80,82,85
4月17日 (四),87,88,88,88,88,90,92,93,86,79,74,70,67,65,64,64,68,70,68,72,79,82,84,85
