日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,7,10,7,7,6,6,5,1,0,2,1,1
4月9日 (三),1,0,0,0,0,0,0,0,1,4,6,7,8,9,9,9,9,9,8,5,4,3,3,2
4月10日 (四),2,1,1,2,2,1,2,2,4,6,7,9,9,9,9,8,8,8,7,4,4,3,2,2
4月11日 (五),2,1,1,1,1,1,1,2,3,6,8,10,10,11,11,10,10,10,8,6,6,5,5,5
4月12日 (六),5,4,5,5,4,4,5,5,6,8,9,11,8,9,12,11,12,13,11,10,10,9,8,7
4月13日 (日),7,6,6,6,6,6,5,5,5,7,7,9,8,9,8,7,7,7,6,3,3,2,2,2
4月14日 (一),1,1,1,1,1,1,1,1,2,4,6,7,7,7,7,6,7,7,6,4,3,3,2,2
4月15日 (二),2,2,2,2,2,1,2,1,2,4,6,7,7,8,8,8,8,8,7,5,4,3,3,3
4月16日 (三),3,2,2,2,2,2,2,3,3,6,7,8,8,9,9,8,8,8,7,5,4,4,3,3
4月17日 (四),3,2,2,2,2,2,2,3,3,6,7,8,8,9,9,8,8,9,7,5,5,4,4,4
