日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72,70,70,69,73,72,76,80,80,81,85,86,86
4月9日 (三),88,90,91,90,94,95,97,97,94,90,87,81,80,80,81,83,84,80,83,87,89,94,94,93
4月10日 (四),93,94,94,94,97,98,99,99,95,92,90,86,85,85,85,86,89,81,84,87,89,95,95,94
4月11日 (五),95,96,96,96,99,100,100,100,95,89,85,81,80,80,82,85,87,79,82,86,90,97,97,95
4月12日 (六),96,98,98,98,100,100,100,100,100,97,96,93,94,94,91,87,84,78,74,72,70,70,68,65
4月13日 (日),64,63,63,61,62,61,62,61,58,53,50,46,45,46,47,49,49,47,49,55,60,64,67,68
4月14日 (一),71,72,75,74,76,77,77,77,73,64,58,52,49,48,48,50,51,48,50,56,59,64,66,66
4月15日 (二),67,68,69,69,71,72,74,76,73,65,60,53,51,49,49,51,53,51,54,60,65,72,75,77
4月16日 (三),80,83,85,85,88,88,89,89,84,78,74,68,67,65,66,68,70,65,67,72,76,81,83,83
4月17日 (四),84,86,86,86,88,89,90,91,88,82,78,73,72,71,73,75,77,71,73,78,82,89,90,89
