日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,10,15,15,21,13,8,3,15,18,14,11,10
4月9日 (三),10,8,7,6,6,5,4,4,2,3,6,8,13,15,17,17,17,15,14,13,12,12,9,8
4月10日 (四),8,6,5,7,7,7,6,6,6,8,10,12,14,14,16,17,16,13,12,12,11,10,8,7
4月11日 (五),7,7,6,6,6,6,6,6,6,8,11,13,16,17,18,18,18,16,15,15,14,14,13,12
4月12日 (六),12,12,12,12,12,12,12,12,12,13,15,16,14,16,23,21,20,20,18,18,16,16,14,12
4月13日 (日),12,12,11,10,10,10,9,9,8,9,11,11,13,13,14,14,13,10,9,9,9,9,7,6
4月14日 (一),6,6,5,5,5,5,4,4,2,3,5,7,11,12,14,14,13,11,10,10,9,9,7,6
4月15日 (二),5,6,7,5,5,4,5,4,4,4,5,7,11,12,14,14,13,11,11,10,10,10,8,7
4月16日 (三),7,7,7,7,7,7,6,6,5,6,8,10,13,13,15,15,15,13,12,12,11,11,9,8
4月17日 (四),8,8,8,8,7,7,7,6,5,7,9,11,13,14,16,16,16,13,13,13,12,13,11,10
