日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66,67,61,60,60,59,62,67,72,75,81,82,83
4月9日 (三),86,86,88,89,91,92,93,95,91,83,73,69,67,67,68,69,70,74,77,79,81,84,85,85
4月10日 (四),87,88,89,90,92,93,94,95,91,85,77,75,73,71,71,71,72,74,77,78,82,86,86,86
4月11日 (五),89,90,91,92,94,94,95,97,92,83,74,72,70,69,69,70,71,74,77,79,82,87,87,87
4月12日 (六),91,92,93,94,95,95,98,100,97,90,82,83,81,80,79,74,70,71,69,64,62,63,60,57
4月13日 (日),56,56,54,54,53,54,55,56,54,47,41,38,37,36,36,38,38,41,45,51,57,62,64,66
4月14日 (一),68,69,71,71,71,72,72,72,67,57,47,42,39,36,35,37,38,42,46,51,56,61,62,62
4月15日 (二),64,65,67,68,68,69,70,72,69,58,49,44,41,38,37,39,42,46,51,57,63,69,72,74
4月16日 (三),78,80,83,84,85,85,86,87,82,72,63,59,57,54,54,55,56,60,63,67,71,76,78,79
4月17日 (四),81,82,83,84,85,86,88,90,85,76,67,64,62,60,61,61,62,66,69,72,76,81,81,82
