日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4,4,7,9,10,12,15,6,10,5,5,5
4月9日 (三),3,3,2,1,0,1,1,0,1,3,6,7,10,12,12,12,12,11,9,6,6,6,5,5
4月10日 (四),3,2,1,2,2,3,2,2,4,6,9,10,11,11,11,11,11,10,7,5,5,4,4,4
4月11日 (五),3,3,2,2,1,2,2,2,4,7,9,11,12,13,13,13,13,11,9,8,8,8,8,8
4月12日 (六),7,7,6,7,7,7,7,7,8,10,12,12,10,12,16,14,14,14,12,11,11,11,10,10
4月13日 (日),9,8,7,7,7,7,6,6,7,8,10,9,10,10,10,9,9,7,5,3,4,3,3,3
4月14日 (一),2,2,1,1,1,1,1,1,2,3,5,7,8,10,10,9,9,8,6,4,4,3,3,3
4月15日 (二),1,1,1,1,1,1,2,1,3,3,4,6,8,9,10,10,10,9,7,5,5,5,5,5
4月16日 (三),4,4,3,3,2,3,3,3,4,5,8,8,10,11,11,10,10,9,7,6,6,6,6,6
4月17日 (四),4,4,3,3,3,3,3,3,4,6,8,9,10,11,11,11,11,10,8,6,6,7,6,7
