日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,65,60,63,64,65,68,72,74,74,78,79,81
4月9日 (三),84,84,86,87,90,92,92,94,88,82,79,80,81,78,76,77,78,77,80,81,84,89,90,90
4月10日 (四),92,92,92,92,94,94,92,93,88,82,80,81,81,77,74,75,75,74,77,79,83,89,91,91
4月11日 (五),93,93,94,93,95,95,94,96,90,83,80,81,80,76,74,76,77,76,79,81,85,91,93,93
4月12日 (六),96,96,97,96,98,97,96,99,94,89,87,90,91,88,84,79,76,74,70,63,56,56,55,53
4月13日 (日),52,51,49,48,48,48,49,49,46,43,40,40,41,40,40,43,45,47,51,55,59,63,64,66
4月14日 (一),67,68,68,67,67,67,66,67,62,56,51,49,47,44,43,46,48,50,53,57,61,66,67,68
4月15日 (二),69,70,70,69,69,68,68,68,64,58,54,52,50,47,45,49,52,56,60,65,71,77,80,82
4月16日 (三),84,85,86,85,86,85,84,85,79,73,70,71,70,66,63,66,67,68,71,74,77,83,85,86
4月17日 (四),87,87,87,87,88,88,87,89,84,77,75,75,74,70,67,70,71,72,75,77,80,85,86,86
