日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,短暂阳光,短暂阳光,短暂阳光,间有阳光,间有阳光,间有阳光,大致多云,大致多云,大致多云,天色良好,天色良好,天色良好,多云
4月9日 (三),多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,短暂阳光,短暂阳光,短暂阳光,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云
4月10日 (四),多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云
4月11日 (五),多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云
4月12日 (六),多云,多云,多云,多云,多云,多云,多云,多云,微雨,微雨,微雨,微雨,微雨,微雨,微雨,微雨,微雨,微雨,微雨,微雨,多云,多云,多云,多云
4月13日 (日),多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,间有阳光,间有阳光,间有阳光,天色大致良好,天色大致良好,天色大致良好,天色大致良好,天色大致良好,天色大致良好,天色大致良好
4月14日 (一),天色大致良好,天色大致良好,天色良好,天色良好,天色良好,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,天色良好,天色良好,天色良好,天色良好,天色良好,天色良好,天色良好
4月15日 (二),天色良好,天色良好,天色良好,天色良好,天色良好,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,阳光充沛,天色良好,天色良好,天色良好,天色大致良好,天色大致良好,天色大致良好,天色大致良好
4月16日 (三),天色大致良好,天色大致良好,多云,多云,多云,多云,多云,多云,间有阳光,间有阳光,间有阳光,间有阳光,间有阳光,间有阳光,间有阳光,间有阳光,间有阳光,天色大致良好,天色大致良好,天色大致良好,天色大致良好,天色大致良好,天色大致良好,天色大致良好
4月17日 (四),天色大致良好,天色大致良好,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,多云,短暂阳光,短暂阳光,短暂阳光,大致多云,大致多云,大致多云,多云,多云,多云,多云
