日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,8,4,10,9,9,5,2,1,0,0,0
4月9日 (三),0,0,0,0,0,0,0,0,0,1,5,8,9,12,12,13,11,10,8,5,2,2,1,0
4月10日 (四),0,0,0,0,0,1,2,1,3,5,8,10,10,11,11,12,9,8,7,5,3,2,2,1
4月11日 (五),1,0,0,0,0,0,0,0,1,5,9,11,13,14,14,14,12,11,9,7,6,6,6,6
4月12日 (六),7,6,6,6,6,7,8,8,8,10,14,15,12,13,19,17,17,16,15,16,14,14,12,10
4月13日 (日),10,9,9,8,9,10,9,7,7,8,9,10,10,10,10,11,9,7,5,2,1,0,0,0
4月14日 (一),0,0,0,0,0,1,1,0,1,2,4,6,8,10,10,10,8,7,5,3,2,2,2,2
4月15日 (二),2,1,1,1,2,2,2,1,1,2,5,7,9,11,11,12,9,8,6,4,2,2,2,1
4月16日 (三),2,1,1,1,2,2,3,2,3,5,8,10,11,12,12,12,10,9,7,5,3,3,2,2
4月17日 (四),2,1,1,1,2,2,3,2,2,5,8,9,11,12,12,13,10,9,8,6,4,5,5,4
