日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66,67,64,65,65,64,65,68,72,77,74,74,77
4月9日 (三),78,81,82,86,87,85,86,86,84,80,76,77,73,71,74,73,68,69,73,73,74,82,82,83
4月10日 (四),84,86,86,90,90,87,89,88,86,83,79,80,75,73,77,76,70,69,73,73,73,83,82,84
4月11日 (五),85,87,87,91,92,89,89,90,87,82,78,80,75,73,77,76,70,69,73,74,74,84,84,86
4月12日 (六),86,88,89,93,94,90,92,93,91,87,83,86,80,78,79,73,62,59,58,54,51,54,51,50
4月13日 (日),49,49,49,49,48,47,47,48,46,43,39,40,38,39,41,41,39,40,42,44,46,52,53,55
4月14日 (一),57,60,62,64,65,63,63,63,60,54,49,48,44,42,44,43,40,40,43,45,47,53,53,55
4月15日 (二),55,57,58,61,63,61,62,63,61,56,52,51,48,45,47,47,45,46,50,53,56,65,66,68
4月16日 (三),70,73,74,78,79,77,77,77,74,70,65,66,62,60,63,62,57,56,60,61,62,71,71,73
4月17日 (四),74,76,76,79,80,77,79,79,77,73,68,69,65,63,67,66,61,59,64,65,66,75,75,77
