日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79,80,76,73,79,81,80,87,91,88,92,92,93
4月9日 (三),94,95,96,97,98,99,100,100,100,98,93,89,84,84,85,86,88,92,100,100,100,100,100,100
4月10日 (四),100,100,100,100,100,100,100,100,100,100,95,91,86,84,85,87,88,91,99,100,100,100,100,100
4月11日 (五),100,100,100,100,100,100,100,100,100,100,96,92,87,85,86,88,89,93,100,100,100,100,100,100
4月12日 (六),100,100,100,100,100,100,100,100,100,100,99,95,89,88,88,83,79,78,78,74,68,65,62,59
4月13日 (日),58,58,56,56,55,55,56,57,56,52,50,47,46,48,50,51,54,58,62,63,63,65,66,68
4月14日 (一),71,73,74,75,75,76,76,77,75,69,63,58,54,53,52,54,56,59,66,71,73,74,73,73
4月15日 (二),74,74,73,75,75,76,77,77,76,71,66,63,59,58,59,61,64,69,77,82,84,86,87,88
4月16日 (三),90,91,91,93,94,95,95,96,94,88,82,78,74,73,74,76,76,80,87,90,90,92,92,93
4月17日 (四),95,95,94,95,96,97,98,99,97,92,86,82,78,77,78,80,80,84,91,94,94,96,95,95
