日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,23,23,24,23,22,22,21,20,20,20,21,21
4月9日 (三),20,20,20,20,20,20,19,19,20,21,22,23,24,24,24,24,23,22,20,20,20,19,19,19
4月10日 (四),19,19,19,19,19,19,19,19,20,21,22,23,24,25,25,24,22,21,20,19,19,19,20,20
4月11日 (五),20,21,21,21,21,21,20,20,21,22,23,24,25,25,26,25,23,22,21,20,20,20,21,20
4月12日 (六),20,20,20,20,20,20,19,19,20,21,22,23,24,24,23,21,20,18,17,17,16,16,16,16
4月13日 (日),16,16,16,16,16,16,15,15,16,17,19,20,22,22,23,22,21,20,18,18,18,18,18,17
4月14日 (一),17,16,16,16,17,17,17,17,18,19,21,22,23,24,24,24,23,22,21,20,19,19,19,19
4月15日 (二),19,19,19,18,18,17,17,18,19,20,22,23,24,25,25,24,23,22,21,20,19,19,19,19
4月16日 (三),19,18,18,18,18,17,17,18,18,20,21,22,23,24,24,23,22,21,20,19,19,19,19,19
4月17日 (四),19,19,19,18,18,17,17,18,18,20,21,22,23,24,24,24,22,21,20,20,19,20,20,20
