日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,19,18,16,23,25,19,15,12,11,11,10
4月9日 (三),9,8,7,7,6,5,6,5,5,5,7,8,10,12,12,12,13,12,12,10,10,9,9,8
4月10日 (四),7,6,5,6,6,6,7,7,7,7,9,10,11,13,12,13,14,13,11,9,9,9,9,8
4月11日 (五),7,7,7,7,6,5,6,7,8,9,10,11,12,14,14,14,16,15,15,14,15,14,15,14
4月12日 (六),13,14,14,14,14,15,15,15,14,15,15,15,13,14,18,17,20,22,21,19,19,17,16,14
4月13日 (日),13,14,13,14,13,14,14,14,13,13,12,12,10,11,11,11,12,12,11,10,10,9,9,9
4月14日 (一),9,8,8,8,8,7,8,8,8,7,8,8,9,11,11,12,13,12,11,11,11,10,10,10
4月15日 (二),9,9,9,9,9,9,9,9,8,6,7,8,9,12,12,13,14,13,12,12,12,11,11,11
4月16日 (三),10,11,11,11,10,11,11,11,11,11,12,12,13,14,14,15,16,15,14,13,13,12,12,12
4月17日 (四),11,11,11,11,10,10,10,11,10,10,11,11,11,13,13,14,15,14,14,13,14,13,13,12
