日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68,63,62,57,56,59,61,68,71,74,74,74,77
4月9日 (三),81,80,82,85,86,88,92,93,90,85,76,71,70,71,72,73,74,76,79,80,84,90,89,91
4月10日 (四),92,90,90,91,91,90,93,94,91,87,79,75,74,73,73,74,75,75,77,79,83,90,90,91
4月11日 (五),94,91,91,93,93,92,95,96,92,87,78,75,73,72,73,74,75,76,78,80,84,92,92,93
4月12日 (六),96,94,93,95,96,94,97,99,96,91,82,80,78,78,77,72,67,66,64,60,56,58,55,53
4月13日 (日),53,51,51,50,49,49,51,51,48,44,41,38,38,39,41,41,42,43,47,50,54,59,60,63
4月14日 (一),65,65,66,66,66,66,67,67,64,57,50,45,42,41,40,42,43,45,49,53,57,62,62,63
4月15日 (二),65,64,64,65,65,65,67,68,65,60,52,48,46,45,45,47,50,52,57,61,66,74,75,78
4月16日 (三),81,80,81,83,83,82,84,85,81,75,66,62,60,60,60,61,61,63,66,68,73,80,81,84
4月17日 (四),86,84,83,84,85,84,87,88,84,78,70,66,64,64,64,66,66,68,71,72,78,85,85,86
