日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,26,26,26,26,26,25,24,23,23,23,23,22
4月9日 (三),22,22,21,21,21,21,20,21,22,23,24,25,25,25,25,24,23,23,22,22,21,21,21,21
4月10日 (四),20,21,20,20,20,21,20,21,22,23,24,25,25,25,24,24,23,22,22,21,21,21,21,22
4月11日 (五),22,22,22,21,22,22,22,22,23,24,25,26,26,26,26,25,24,23,22,22,22,22,22,21
4月12日 (六),21,21,21,21,21,21,20,20,21,23,24,24,24,24,22,21,20,18,18,18,18,17,17,17
4月13日 (日),17,17,17,16,16,16,16,16,17,18,20,22,23,23,23,23,22,22,20,20,19,19,18,18
4月14日 (一),18,17,17,17,17,17,17,18,19,21,22,24,25,25,25,25,24,23,22,22,21,20,20,20
4月15日 (二),19,20,19,19,19,18,18,19,20,22,24,25,26,27,27,25,25,23,22,22,21,20,20,20
4月16日 (三),19,19,19,19,18,18,18,18,19,21,23,24,24,25,24,24,23,22,22,21,21,20,20,20
4月17日 (四),19,20,19,19,19,19,18,18,20,21,23,24,24,25,24,24,23,23,22,22,21,21,21,20
