日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,东南,西南,南,西南,南,南,南,东南,东南,东,南,东南,东南
4月9日 (三),东南,东南,东南,南,西,西南,西南,西南,西南,西南,西南,南,南,南,南,南,南,南,南,南,南,南,南,南
4月10日 (四),南,南,西,西南,西南,西南,西南,西南,西南,西南,西南,西南,西南,西南,西南,西南,西南,南,南,南,南,南,南,南
4月11日 (五),南,南,西南,西南,西南,西南,西南,南,南,南,西南,南,南,南,南,南,南,南,南,南,南,南,南,南
4月12日 (六),南,南,南,南,西南,南,西南,南,西南,西南,西南,西南,西南,西南,西北,西北,北,北,北,北,东北,北,北,北
4月13日 (日),北,北,北,北,北,北,北,北,北,西北,西北,西北,西,西,西,西南,西南,南,南,东南,东南,东南,东南,东南
4月14日 (一),东南,东南,西南,西南,西,西,西,西,西,西,西,西南,西南,西南,西南,西南,西南,西南,南,南,南,东,东,南
4月15日 (二),南,北,北,西北,西北,西北,西北,西北,西北,西,西南,南,南,南,南,南,南,南,东南,东南,东南,东南,东,东南
4月16日 (三),东南,东,东南,东南,东南,东南,东南,东南,东南,南,南,南,南,南,南,南,南,东南,东南,东南,东南,东南,东,东南
4月17日 (四),东南,东,东,东南,东南,东南,东南,东南,东南,南,南,南,南,南,南,南,南,南,东南,东南,东南,东南,东南,东南
