日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,61,57,57,58,59,63,68,72,72,72,74,77
4月9日 (三),80,80,82,82,84,85,86,86,86,82,78,75,73,71,69,67,70,71,75,79,79,81,83,85
4月10日 (四),88,87,87,86,87,87,87,86,87,84,80,77,75,73,71,68,70,71,74,78,79,81,83,86
4月11日 (五),88,88,88,87,88,89,88,87,87,83,79,77,74,71,69,67,70,71,75,79,79,82,84,87
4月12日 (六),90,89,90,89,90,90,90,90,91,88,85,84,82,79,76,68,69,68,67,62,56,55,53,52
4月13日 (日),52,50,50,49,48,48,48,48,48,45,42,40,39,40,40,40,43,45,50,53,57,58,59,61
4月14日 (一),63,63,64,63,63,64,63,63,62,57,52,48,44,42,40,40,43,46,51,55,58,60,61,63
4月15日 (二),64,64,65,64,64,64,63,62,62,58,54,51,48,46,44,45,49,52,58,63,67,70,73,76
4月16日 (三),79,79,81,80,80,80,79,78,77,73,69,67,64,62,59,57,61,62,67,71,72,75,77,80
4月17日 (四),82,82,82,82,82,82,82,82,82,78,73,71,68,66,63,61,65,66,71,75,77,79,80,82
