日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,14,17,15,17,17,16,14,12,10,10,8
4月9日 (三),7,6,5,4,3,2,2,2,2,4,5,6,8,8,9,9,9,9,8,7,7,6,6,5
4月10日 (四),4,4,3,3,3,3,3,3,4,6,7,9,9,9,9,9,9,9,8,7,7,6,6,5
4月11日 (五),5,5,4,3,3,2,2,3,4,6,7,9,10,10,10,10,10,10,9,9,9,9,8,8
4月12日 (六),8,8,7,7,7,7,7,7,8,9,10,11,10,9,10,12,13,13,13,12,13,13,11,11
4月13日 (日),10,10,9,9,8,7,7,7,7,8,8,9,9,8,9,9,8,8,7,7,6,6,6,5
4月14日 (一),4,5,4,4,4,4,4,3,4,5,6,7,8,8,8,9,8,8,8,7,7,7,6,6
4月15日 (二),5,5,5,5,5,4,4,4,4,6,6,8,9,8,9,9,9,9,8,8,7,7,7,6
4月16日 (三),6,6,6,6,5,5,5,5,6,7,8,9,10,9,10,10,9,9,9,8,8,8,7,7
4月17日 (四),6,6,6,6,5,5,5,4,5,7,8,9,10,9,10,10,9,9,9,8,8,8,8,7
