日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69,67,62,60,58,61,63,67,75,77,76,78,81
4月9日 (三),84,82,85,87,89,90,93,95,90,82,77,76,73,73,70,70,73,74,79,87,91,94,96,97
4月10日 (四),98,94,94,95,95,94,95,97,91,84,80,78,76,75,71,70,73,73,78,85,89,93,95,97
4月11日 (五),98,94,95,96,96,95,96,98,92,84,80,79,75,74,70,70,73,74,78,86,89,94,97,98
4月12日 (六),99,96,97,98,98,96,98,100,95,88,84,82,78,77,72,65,65,63,64,62,58,57,55,54
4月13日 (日),53,51,49,48,47,47,47,48,45,40,37,35,37,38,38,39,42,44,49,53,56,59,61,63
4月14日 (一),64,63,64,65,64,65,65,66,62,55,50,48,45,45,42,43,46,47,53,60,64,67,68,70
4月15日 (二),70,68,68,68,67,67,67,68,63,57,53,52,50,50,47,49,53,55,61,69,74,78,81,84
4月16日 (三),85,84,85,86,85,85,85,87,81,73,69,67,65,64,60,59,63,63,68,76,79,83,86,88
4月17日 (四),89,86,86,88,87,87,87,90,84,76,73,71,68,67,62,62,66,66,72,80,83,87,89,90
