日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,东南,东南,南,东南,东南,南,南,东北,东北,东北,东北,南,西
4月9日 (三),南,南,南,西,西南,西,西,西,西,南,东南,东南,南,南,南,南,南,南,南,西南,西南,西南,西南,西
4月10日 (四),西南,西南,西,西,西南,西,西南,西,西,南,南,南,西南,西南,西南,南,西南,西南,西南,西南,西南,西南,西,西
4月11日 (五),西南,西南,西南,西南,西南,西南,西南,西南,南,南,东南,南,南,南,南,南,南,南,南,南,南,南,西南,西南
4月12日 (六),西南,南,西南,西南,南,西南,南,西南,西南,南,南,西南,西南,西南,西南,东,北,北,北,北,北,北,北,北
4月13日 (日),北,北,北,北,北,北,北,西北,北,北,东北,东,西北,南,东南,东南,东南,东南,东南,西南,南,北,西,西
4月14日 (一),西南,西南,西南,西,西南,西,西,西,西北,东南,东南,东南,西南,西南,南,南,南,南,南,西,西南,西,西北,西北
4月15日 (二),西南,西,西,西,西,西北,西北,西,西北,东南,东,东南,东南,南,东南,东南,东南,东南,东南,东,东南,东,东,北
4月16日 (三),东南,东南,东,东,东,东,东,西北,东,东,东,东,东,东南,东南,东南,东南,东南,东南,东,东南,东,东,东
4月17日 (四),东南,东南,东,东南,东,东,东,西,东,东,东,东南,东南,东南,东南,东南,东南,东南,东南,东,东南,东南,东南,东南
