日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2,4,8,8,6,6,5,4,2,3,3,2
4月9日 (三),2,1,1,1,0,0,0,0,0,2,4,4,5,5,6,6,5,4,2,1,1,0,0,0
4月10日 (四),0,0,0,0,0,0,0,0,0,3,4,5,5,5,6,6,6,5,3,1,1,0,0,0
4月11日 (五),0,0,0,0,0,0,0,0,0,3,5,5,6,6,7,6,6,5,3,3,3,3,3,2
4月12日 (六),2,2,3,3,3,3,4,3,3,5,6,7,7,6,7,8,8,7,6,5,6,6,5,4
4月13日 (日),4,3,4,4,3,3,4,3,3,5,5,6,6,6,7,6,6,4,3,1,1,1,0,0
4月14日 (一),0,0,0,0,0,0,1,0,1,3,5,5,6,6,7,6,6,5,3,2,1,1,1,1
4月15日 (二),1,0,1,1,0,1,1,0,0,3,5,5,6,6,7,6,6,5,3,2,2,2,1,1
4月16日 (三),1,1,2,2,1,2,3,1,2,4,6,6,6,6,7,6,6,5,3,2,2,2,2,1
4月17日 (四),2,1,2,2,1,2,2,1,1,4,6,6,6,6,7,6,6,5,3,2,2,2,2,2
